                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 6.0446,                 11.633,                 6.8908,                0.00397,                0.02671,                0.00413,                0.00181,                 4.5215,                  8.229,                 4.9286,              0.0033315,              0.0033315,              0.0033315
                      2,                  3.867,                 8.0911,                 3.9649,                0.24832,                0.05137,                0.02929,                0.01632,                 3.6722,                 6.5406,                 3.7907,              0.0066517,              0.0066517,              0.0066517
                      3,                 3.4879,                 6.5102,                 3.4919,                 0.2596,                0.13441,                0.08453,                0.04829,                 3.4247,                 5.6715,                  3.456,              0.0099586,              0.0099586,              0.0099586
                      4,                 3.3249,                 5.7175,                 3.2529,                 0.2989,                 0.1883,                0.14972,                0.09195,                 3.1866,                 4.8498,                 3.1986,              0.0099406,              0.0099406,              0.0099406
                      5,                  3.192,                 5.2282,                 3.0978,                0.32836,                0.22883,                0.19745,                0.12566,                  3.061,                 4.4297,                 3.0435,              0.0099208,              0.0099208,              0.0099208
                      6,                  3.108,                 4.9627,                 3.0106,                0.36441,                0.25839,                0.23807,                0.15478,                 2.9747,                 4.1795,                 2.9531,               0.009901,               0.009901,               0.009901
                      7,                 3.0581,                 4.7933,                 2.9478,                0.40193,                 0.2778,                0.26304,                0.17297,                 2.9221,                 4.0239,                 2.8899,              0.0098812,              0.0098812,              0.0098812
                      8,                 3.0176,                 4.6509,                 2.8972,                0.41579,                0.29054,                0.28054,                0.18583,                 2.8822,                 3.9205,                 2.8434,              0.0098614,              0.0098614,              0.0098614
                      9,                 2.9794,                 4.5299,                 2.8569,                0.42269,                0.29428,                0.29297,                0.19497,                  2.852,                 3.8481,                 2.8141,              0.0098416,              0.0098416,              0.0098416
                     10,                 2.9562,                 4.4459,                 2.8266,                0.42412,                0.30799,                0.30193,                0.20125,                 2.8337,                 3.7991,                 2.7925,              0.0098218,              0.0098218,              0.0098218
                     11,                 2.9323,                 4.3928,                  2.796,                 0.4359,                 0.3084,                0.30769,                0.20571,                 2.8208,                 3.7673,                 2.7762,               0.009802,               0.009802,               0.009802
                     12,                  2.924,                 4.3261,                 2.7799,                0.45174,                  0.314,                0.31333,                0.20964,                 2.8091,                  3.741,                 2.7621,              0.0097822,              0.0097822,              0.0097822
                     13,                 2.9021,                 4.2749,                 2.7585,                0.45616,                0.31481,                 0.3152,                0.21187,                 2.7978,                 3.7181,                 2.7489,              0.0097624,              0.0097624,              0.0097624
                     14,                 2.8786,                 4.2228,                 2.7328,                0.46337,                0.31719,                0.31896,                0.21512,                 2.7884,                 3.6985,                 2.7351,              0.0097426,              0.0097426,              0.0097426
                     15,                 2.8723,                 4.1959,                 2.7179,                0.47623,                 0.3189,                0.32372,                0.21894,                 2.7781,                 3.6861,                 2.7214,              0.0097228,              0.0097228,              0.0097228
                     16,                 2.8572,                  4.154,                 2.7019,                0.48659,                0.31948,                0.32875,                0.22283,                 2.7687,                 3.6694,                 2.7078,               0.009703,               0.009703,               0.009703
                     17,                 2.8572,                 4.1288,                 2.6888,                0.48758,                0.32453,                 0.3328,                0.22558,                 2.7583,                 3.6535,                 2.6936,              0.0096832,              0.0096832,              0.0096832
                     18,                 2.8478,                 4.1059,                  2.681,                0.49506,                0.32646,                0.33703,                 0.2293,                 2.7505,                 3.6368,                 2.6816,              0.0096634,              0.0096634,              0.0096634
                     19,                 2.8397,                 4.0825,                 2.6688,                 0.4971,                0.32943,                0.34144,                0.23228,                 2.7414,                 3.6206,                 2.6677,              0.0096436,              0.0096436,              0.0096436
                     20,                 2.8201,                 4.0418,                  2.653,                  0.495,                0.33365,                0.34536,                0.23554,                 2.7329,                 3.6025,                 2.6547,              0.0096238,              0.0096238,              0.0096238
                     21,                 2.8234,                 4.0307,                 2.6462,                0.49705,                 0.3352,                0.34857,                0.23831,                 2.7246,                 3.5855,                 2.6431,               0.009604,               0.009604,               0.009604
                     22,                  2.816,                 4.0095,                 2.6381,                0.50444,                0.33545,                 0.3522,                0.24128,                 2.7173,                 3.5658,                 2.6315,              0.0095842,              0.0095842,              0.0095842
                     23,                 2.8109,                 3.9957,                 2.6328,                 0.5112,                0.33832,                0.35619,                0.24461,                 2.7077,                 3.5478,                 2.6187,              0.0095644,              0.0095644,              0.0095644
                     24,                 2.7944,                 3.9654,                 2.6204,                0.51302,                0.34274,                0.36016,                0.24748,                 2.6997,                 3.5273,                 2.6072,              0.0095446,              0.0095446,              0.0095446
                     25,                 2.7933,                 3.9561,                 2.6132,                0.51692,                0.34529,                0.36294,                0.25001,                 2.6903,                 3.5085,                 2.5949,              0.0095248,              0.0095248,              0.0095248
                     26,                 2.7933,                 3.9466,                 2.6109,                0.51802,                0.34893,                 0.3673,                0.25351,                  2.683,                 3.4808,                 2.5843,               0.009505,               0.009505,               0.009505
                     27,                 2.7942,                 3.9301,                 2.6037,                0.52557,                0.35096,                0.37145,                 0.2565,                 2.6757,                 3.4581,                 2.5742,              0.0094852,              0.0094852,              0.0094852
                     28,                 2.7873,                 3.9192,                 2.5991,                0.52892,                0.35455,                0.37495,                0.25951,                 2.6689,                 3.4313,                 2.5645,              0.0094654,              0.0094654,              0.0094654
                     29,                 2.7827,                 3.9041,                 2.5982,                0.53049,                0.35515,                0.37909,                0.26246,                  2.663,                 3.4038,                 2.5555,              0.0094456,              0.0094456,              0.0094456
                     30,                 2.7753,                  3.891,                 2.5911,                0.53381,                0.35927,                0.38315,                0.26527,                 2.6533,                 3.3845,                 2.5455,              0.0094258,              0.0094258,              0.0094258
